artist,song.name,year,corpus,rank,start,end,male,non.cis,race,ethnicity,primary.status,BIPOC,gender,encoder,
Daddy Yankee,Gasolina,2010,2021,50,0,20,0,0,1,0,1,1,0,SMC,
Daft Punk feat. Pharrell Williams,Get Lucky,2013,2021,465,0,31,0,0,0,1,0,0,0,SMC,
David Bowie,Changes,1971,2004,127,0,20,0,0,1,0,1,1,0,SMC,
David Bowie,Changes,1971,2021,200,0,20,0,0,0,0,0,0,0,SMC,
David Bowie,Heroes,1977,2004,46,0,17,0,0,0,0,0,0,0,SMC,
David Bowie,Heroes,1977,2021,23,0,17,0,0,1,1,1,1,0,SMC,
David Bowie,Life on Mars?,1971,2021,105,0,0,0,0,1,1,1,1,0,SMC,
David Bowie,Space Oddity,1969,2021,189,0,29,0,0,1,1,1,1,0,SMC,
David Bowie,Station to Station,1976,2021,400,0,87,0,0,1,0,1,1,0,SMC,
David Bowie,Young Americans,1975,2004,481,0,25,0,0,0,0,0,0,0,SMC,
David Bowie,Young Americans,1975,2021,204,0,25,0,0,0,0,0,0,0,SMC,
David Bowie,Ziggy Stardust,1972,2004,277,0,25,0,0,0,0,0,0,0,SMC,
Deee-Lite,Groove is in the Heart,1990,2021,233,0,23,0,0,0,0,0,0,0,SMC,
Deep Purple,Smoke on the Water,1973,2004,426,0,51,0,0,0,0,0,0,0,SMC,
Del Shannon,Runaway,1961,2004,466,0,7,0,0,0,0,0,0,0,SMC,
Depeche Mode,Enjoy the Silence,1990,2021,415,0,25,0,0,0,0,0,0,0,SMC,
Depeche Mode,Personal Jesus,1989,2004,368,0,6,0,0,0,1,0,0,0,SMC,
Derek and the Dominoes,Layla,1970,2021,224,0,24,0,0,1,0,1,1,0,TM,
Derek and the Dominos,Layla,1970,2004,27,0,24,0,0,1,0,1,1,0,TM,
Destiny's Child,Say My Name,1999,2021,285,0,28,0,0,1,0,1,1,0,TM,
Diana Ross,I'm Coming Out,1980,2021,385,0,51,0,0,1,0,1,1,0,TM,
Digital Underground,The Humpty Dance,1990,2021,241,0,10,0,0,1,0,1,1,0,TM,
Dion,Runaround Sue,1961,2004,342,0,22,1,0,0,0,1,0,1,TM,
Dion,The Wandered,1961,2004,239,0,8,1,0,0,0,1,0,1,TM,
Dionne Warwick,Walk On By,1964,2004,70,0,4,1,0,0,0,1,0,1,TM,
Dionne Warwick,Walk On By,1964,2021,51,0,4,0,0,0,0,0,0,0,TM,
Dixie Chicks,Goodbye Earl,2000,2021,469,0,16,0,0,0,0,0,0,0,TM,
DMX,Party Up (Up in Here),1999,2021,388,0,8,0,0,0,0,0,0,0,TM,
Dolly Parton,Coat of Many Colors,1971,2021,263,0,5,0,0,1,0,1,1,0,TM,
Dolly Parton,Jolene,1974,2004,217,0,8,0,0,0,0,0,0,0,TM,
Dolly Parton,Jolene,1974,2021,63,0,8,0,0,0,0,0,0,0,TM,
Don Henley,The Boys of Summer,1984,2021,209,0,32,0,0,1,0,1,1,0,TM,
Don Henley,The Boys of Summer,1984,2004,416,0,32,0,0,1,0,1,1,0,TM,
Donna Summer,Hot Stuff,1979,2004,103,0,31,0,0,1,0,1,1,0,TM,
Donna Summer,I Feel Love,1977,2004,411,0,41,1,0,1,0,1,1,1,TM,
Donna Summer,I Feel Love,1977,2021,52,0,41,0,0,0,0,0,0,0,TM,
Dr. Dre and 2Pac,California Love,1996,2004,346,0,12,0,0,1,0,1,1,0,TM,
Dr. Dre feat. Snoop Doggy Dogg,Nuthin' But a 'G' Thang,1993,2004,419,0,9,0,0,1,0,1,1,0,TM,
Dr. Dre feat. Snoop Doggy Dogg,Nuthin' But a 'G' Thang,1992,2021,29,0,9,0,0,0,0,0,0,0,TM,
Drake,Hotline Bling,2015,2021,373,0,13,0,0,1,0,1,1,0,TM,
Drake feat. Majid Jordan,"Hold On, We're Going Home",2013,2021,129,0,18,0,0,0,0,0,0,0,TM,
Drake feat. Rihanna,Take Care,2011,2021,267,1,6,0,0,0,0,0,0,0,TM,
Duran Duran,Hungry Like the Wolf,1982,2021,398,0,8,0,0,0,0,0,0,0,TM,
Dusty Springfield,Son of a Preacher Man,1968,2004,240,0,11,0,0,0,0,0,0,0,TM,
Dusty Springfield,Son of a Preacher Man,1968,2021,168,0,11,0,0,1,0,1,1,0,TM,
Eric B. and Rakim,I Know You Got Soul,1987,2004,386,0,8,0,0,0,0,0,0,0,TM,
Eric B. and Rakim,Paid in Full,1987,2021,132,0,48,0,0,0,0,0,0,0,TM,
