artist,song.name,year,corpus,rank,start,end,male,non.cis,race,ethnicity,primary.status,BIPOC,gender,encoder,
The Rolling Stones,Miss You,1978,2004,496,,,,,,,,,,,
The Rolling Stones,"Paint It, Black",1966,2004,174,,,,,,,,,,,
The Rolling Stones,"Paint It, Black",1966,2021,213,,,,,,,,,,,
The Rolling Stones,Ruby Tuesday,1967,2004,303,,,,,,,,,,,
The Rolling Stones,Satisfaction,1965,2004,2,,,,,,,,,,,
The Rolling Stones,Street Fighting Man,1968,2004,295,,,,,,,,,,,
The Rolling Stones,Sympathy for the Devil,1968,2004,32,,,,,,,,,,,
The Rolling Stones,Sympathy for the Devil,1968,2021,106,,,,,,,,,,,
The Rolling Stones,Tumbling Dice,1972,2004,424,,,,,,,,,,,
The Rolling Stones,Tumbling Dice,1972,2021,86,,,,,,,,,,,
The Rolling Stones,Wild Horses,1971,2004,334,,,,,,,,,,,
The Rolling Stones,Wild Horses,1971,2021,193,,,,,,,,,,,
The Rolling Stones,You Can't Always Get What You Want,1969,2004,100,,,,,,,,,,,
The Ronettes,Walking in the Rain,1964,2004,266,,,,,,,,,,,
The Sex Pistols,God Save the Queen,1977,2004,173,,,,,,,,,,,
The Shangri-Las,Remember (Walkin' in the Sand),1964,2004,395,,,,,,,,,,,
The Shirelles,Tonight's the Night,1960,2004,401,,,,,,,,,,,
The Shirelles,Will You Love Me Tomorrow,1960,2004,125,,,,,,,,,,,
The Shirelles,Will You Love Me Tomorrow,1960,2021,151,,,,,,,,,,,
The Smiths,How Soon Is Now?,1985,2004,486,,,,,,,,,,,
The Smiths,How Soon Is Now?,1984,2021,421,,,,,,,,,,,
The Smiths,There is a Light That Never Goes Out,1986,2021,226,,,,,,,,,,,
The Smiths,"William, It Was Really Nothing",1984,2004,425,,,,,,,,,,,
The Staple Singers,I'll Take You There,1972,2004,276,,,,,,,,,,,
The Staple Singers,I'll Take You There,1972,2021,186,,,,,,,,,,,
The Staple Singers,Respect Yourself,1971,2004,462,,,,,,,,,,,
The Stooges,Search and Destroy,1973,2004,468,,,,,,,,,,,
The Strokes,Last Nite,2001,2021,155,,,,,,,,,,,
The Sugarhill Gang,Rappers Delight,1979,2004,248,,,,,,,,,,,
The Supremes,Stop! In the Name of Love,1965,2021,254,,,,,,,,,,,
The Supremes,Where Did Our Love Go,1964,2004,472,,,,,,,,,,,
The Supremes,You Keep Me Hanging On,1966,2021,234,,,,,,,,,,,
The Supremes,You Keep Me Hanging On,1966,2004,339,,,,,,,,,,,
The Temptations,Just My Imagination,1971,2004,389,,,,,,,,,,,
The Temptations,My Girl,1964,2004,88,,,,,,,,,,,
The Temptations,My Girl,1965,2021,43,,,,,,,,,,,
The Troggs,Wild Thing,1966,2004,257,,,,,,,,,,,
The Velvet Underground,Heroin,1967,2004,448,,,,,,,,,,,
The Velvet Underground,Sweet Jane,1970,2004,335,,,,,,,,,,,
The Velvet Underground,Sweet Jane,1970,2021,294,,,,,,,,,,,
The Verve,Bitter Sweet Symphony,1997,2004,382,,,,,,,,,,,
The Wailers,"Get Up, Stand Up",1973,2021,260,,,,,,,,,,,
The Weeknd,House of Balloons,2011,2021,488,,,,,,,,,,,
The Who,Baba O'Riley,1971,2004,340,,,,,,,,,,,
The Who,Baba O'Riley,1971,2021,159,,,,,,,,,,,
The Who,I Can See For Miles,1967,2004,258,,,,,,,,,,,
The Who,I Can't Explain,1965,2004,371,,,,,,,,,,,
The Who,My Generation,1965,2004,11,,,,,,,,,,,
The Who,My Generation,1965,2021,232,,,,,,,,,,,
The Who,Won't Get Fooled Again,1971,2004,133,,,,,,,,,,,
The Who,Won't Get Fooled Again,1971,2021,295,,,,,,,,,,,
The Young Rascals,Good Lovin',1966,2004,325,,,,,,,,,,,
The Zombies,She's Not There,1964,2004,291,,,,,,,,,,,
Them,Gloria,1964,2004,208,,,,,,,,,,,
Them,Gloria,1965,2021,413,,,,,,,,,,,
Thin Lizzy,The Boys Are Back in Town,1976,2004,499,,,,,,,,,,,
Thin Lizzy,The Boys Are Back in Town,1976,2021,272,,,,,,,,,,,
TLC,Waterfalls,1995,2021,127,,,,,,,,,,,
Tom Petty,Free Fallin',1989,2004,177,,,,,,,,,,,
Tom Petty,Free Fallin',1989,2021,219,,,,,,,,,,,
Tom Petty and the Heartbreakers,American Girl,1976,2021,169,,,,,,,,,,,
Toots and the Maytals,Pressure Drop,1973,2004,446,,,,,,,,,,,
Toots and the Maytals,Pressure Drop,1973,2021,278,,,,,,,,,,,
Toto,Africa,1982,2021,452,,,,,,,,,,,
Townes Van Sandt,Pancho and Lefty,1972,2021,498,,,,,,,,,,,
Tracy Chapman,Fast Car,1988,2004,165,,,,,,,,,,,
Tracy Chapman,Fast Car,1988,2021,71,,,,,,,,,,,
U2,I Still Haven't Found What I'm Looking For,1987,2004,93,,,,,,,,,,,
U2,I Still Haven't Found What I'm Looking For,1987,2021,321,,,,,,,,,,,
U2,New Year's Day,1983,2004,427,,,,,,,,,,,
U2,One,1991,2004,36,,,,,,,,,,,
U2,One,1992,2021,62,,,,,,,,,,,
U2,Pride (In the Name of Love),1984,2004,378,,,,,,,,,,,
U2,Sunday Bloody Sunday,1983,2004,268,,,,,,,,,,,
U2,With or Without You,1987,2004,131,,,,,,,,,,,
U2,With or Without You,1987,2021,211,,,,,,,,,,,
UGK feat. Outkast,Int'l Players Anthem (I Choose You),2007,2021,91,,,,,,,,,,,
Usher feat. Lil Jon and Ludacris,Yeah!,2004,2021,290,,,,,,,,,,,
Van Morrison,Brown Eyed Girl,1967,2004,109,,,,,,,,,,,
Van Morrison,Into the Mystic,1970,2004,480,,,,,,,,,,,
Van Morrison,Into the Mystic,1970,2021,462,,,,,,,,,,,
Van Morrison,Moondance,1970,2004,226,,,,,,,,,,,
Weezer,Buddy Holly,1994,2004,497,,,,,,,,,,,
Weezer,Buddy Holly,1994,2021,484,,,,,,,,,,,
Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987,2021,231,,,,,,,,,,,
Whitney Houston,I Will Always Love You,1992,2021,94,,,,,,,,,,,
Willie Nelson,Blue Eyes Crying in the Rain,1975,2004,302,,,,,,,,,,,
Willie Nelson,Blue Eyes Crying in the Rain,1975,2021,253,,,,,,,,,,,
Willie Nelson,On the Road Again,1980,2004,471,,,,,,,,,,,
Wilson Pickett,Mustang Sally,1966,2004,434,,,,,,,,,,,
Wu-Tang Clan,C.R.E.A.M.,1994,2021,107,,,,,,,,,,,
Yeah Yeah Yeahs,Maps,2003,2021,101,,,,,,,,,,,
