artist,title,primary.status,BIHAP,gender,year,corpus,total,rank
Stevie Wonder,Living for the City,1,1,0,1973,2004,11,104
David Bowie,Life on Mars?,0,0,0,1971,2021,0,105
Simon and Garfunkel,The Boxer,0,0,0,1969,2004,5,105
The Rolling Stones,Sympathy for the Devil,0,0,0,1968,2021,21,106
Bob Dylan,Mr. Tambourine Man,0,0,0,1965,2004,5,106
Wu-Tang Clan,C.R.E.A.M.,1,1,0,1994,2021,26,107
Buddy Holly and the Crickets,Not Fade Away,0,0,0,1957,2004,9,107
The Cure,Just Like Heaven,0,0,0,1987,2021,49,108
Prince,Little Red Corvette,1,1,0,1983,2004,20,108
Sly and the Family Stone,Everyday People,1,1,1,1968,2021,8,109
Van Morrison,Brown Eyed Girl,0,0,0,1967,2004,13,109
The Beatles,Something,0,0,0,1969,2021,4,110
Otis Redding,I've Been Loving You Too Long (to Stop Now),1,1,0,1965,2004,0,110
Bruce Springsteen,Thunder Road,0,0,0,1975,2021,18,111
Hank Williams,I'm So Lonesome I Could Cry,0,0,0,1949,2004,7,111
R.E.M.,Losing My Religion,0,0,0,1991,2021,15,112
Elvis Presley,That's All Right,0,0,0,1954,2004,6,112
Stevie Wonder,Higher Ground,1,1,0,1973,2021,23,113
The Drifters,Up On the Roof,1,1,0,1962,2004,9,113
Britney Spears,Toxic,1,0,1,2003,2021,13,114
The Crystals,Da Doo Ron Ron,1,1,1,1963,2004,6,114
Etta James,At Last,1,1,1,1960,2021,19,115
Sam Cooke,You Send Me,1,1,0,1957,2004,0,115
Rob Base and DJ E-Z Rock,It Takes Two,1,1,0,1988,2021,23,116
The Rolling Stones,Honky Tonk Women,0,0,0,1969,2004,16,116
Aretha Franklin,I Say a Little Prayer,1,1,1,1968,2021,8,117
Al Green,Take Me to the River,1,1,0,1974,2004,28,117
Radiohead,Creep,0,0,0,1992,2021,19,118
The Isley Brothers,Shout (Parts 1 and 2),1,1,0,1959,2004,6,118
Marvin Gaye,I Heard It Through the Grapevine,1,1,0,1968,2021,20,119
Fleetwood Mac,Go Your Own Way,1,0,1,1977,2004,4,119
X-Ray Spex,Oh Bondage! Up Yours!,0,0,0,1977,2021,25,120
The Jackson 5,I Want You Back,1,1,0,1969,2004,30,120
The Beatles,Let It Be,0,0,0,1970,2021,12,121
Ben E. King,Stand By Me,1,1,0,1961,2004,15,121
The Impressions,People Get Ready,1,1,0,1965,2021,14,122
The Animals,House of the Rising Sun,0,0,0,1964,2004,11,122
Talking Heads,This Must Be the Place (Naive Melody),0,0,0,1983,2021,63,123
James Brown,It's a Man's Man's Man's World,1,1,0,1966,2004,12,123
Buddy Holly,That'll Be the Day,0,0,0,1957,2021,2,124
The Rolling Stones,Jumpin' Jack Flash,0,0,0,1968,2004,22,124
Sex Pistols,Anarchy in the U.K.,0,0,0,1977,2021,14,125
The Shirelles,Will You Love Me Tomorrow,1,1,1,1960,2004,6,125
George Michael,Freedom! '90,0,0,0,1990,2021,52,126
Big Joe Turner,"Shake, Rattle and Roll",1,1,0,1954,2004,6,126
TLC,Waterfalls,1,1,1,1995,2021,33,127
David Bowie,Changes,0,0,0,1971,2004,20,127
Led Zeppelin,Whole Lotta Love,0,0,0,1969,2021,11,128
Chuck Berry,Rock & Roll Music,1,1,0,1957,2004,0,128
Drake feat. Majid Jordan,"Hold On, We're Going Home",1,1,0,2013,2021,18,129
Steppenwolf,Born To Be Wild,0,0,0,1968,2004,14,129
Martha and the Vandellas,Dancing in the Street,1,1,1,1964,2021,8,130
Rod Stewart,Maggie May,0,0,0,1971,2004,45,130
Ben E. King,Stand by Me,1,1,0,1961,2021,15,131
U2,With or Without You,0,0,0,1987,2004,26,131
Eric B. and Rakim,Paid in Full,1,1,0,1987,2021,48,132
Bo Diddley,Who Do You Love,1,1,0,1957,2004,25,132
Journey,Don't Stop Believin',1,1,0,1981,2021,18,133
The Who,Won't Get Fooled Again,0,0,0,1971,2004,43,133
Tina Turner,What's Love Got to Do With It,1,1,1,1984,2021,19,134
Wilson Pickett,In The Midnight Hour,1,1,0,1965,2004,15,134
The Beatles,She Loves You,0,0,0,1964,2021,0,135
The Beatles,While My Guitar Gently Weeps,0,0,0,1968,2004,16,135
Otis Redding,Try a Little Tenderness,1,1,0,1966,2021,12,136
Elton John,Your Song,0,0,0,1970,2004,8,136
Ariana Grande,"Thank U, Next",1,0,1,2019,2021,8,137
The Beatles,Eleanor Rigby,0,0,0,1966,2004,0,137
Blondie,Heart of Glass,1,0,1,1979,2021,16,138
Sly and the Family Stone,Family Affair,1,1,1,1971,2004,4,138
Madonna,Vogue,1,0,1,1990,2021,85,139
The Beatles,I Saw Her Standing There,0,0,0,1964,2004,7,139
Bob Marley and the Wailers,No Woman No Cry,1,1,0,1975,2021,10,140
Led Zeppelin,Kashmir,0,0,0,1975,2004,18,140
Rod Stewart,Maggie May,0,0,0,1971,2021,45,141
The Everly Brothers,All I Have to Do Is Dream,0,0,0,1958,2004,1,141
George Jones,He Stopped Loving Her Today,0,0,0,1980,2021,0,142
James Brown,"Please, Please, Please",1,1,0,1956,2004,0,142
The Clash,London Calling,0,0,0,1980,2021,21,143
The Rolling Stones,Jumpin' Jack Flash,0,0,0,1968,2021,22,144
Ramones,I Wanna Be Sedated,0,0,0,1978,2004,5,144
Outkast,Ms. Jackson,1,1,0,2000,2021,22,145
Sly and the Family Stone,Everyday People,1,1,1,1968,2004,8,145
James Taylor,Fire and Rain,0,0,0,1970,2021,12,146
Fats Domino,Blueberry Hill,1,1,0,1956,2021,10,147
Iggy Pop,Lust for Life,0,0,0,1977,2004,71,147
Led Zeppelin,Kashmir,0,0,0,1975,2021,18,148
Janis Joplin,Me and Bobby McGee,1,0,1,1971,2004,4,148
Elton John,Rocket Man,0,0,0,1972,2021,0,149
The Everly Brothers,Cathy's Clown,0,0,0,1960,2004,8,149
Green Day,Basket Case,0,0,0,1994,2021,0,150
The Byrds,Eight Miles High,0,0,0,1966,2004,29,150
The Shirelles,Will You Love Me Tomorrow,1,1,1,1960,2021,6,151
The Penguins,Earth Angel,1,1,0,1954,2004,11,151
Creedence Clearwater Revival,Proud Mary,0,0,0,1969,2021,12,152
The Jimi Hendrix Experience,Foxey Lady,1,1,0,1965,2004,19,152
Rick James,Super Freak,1,1,0,1981,2021,14,153
The Beatles,A Hard Day's Night,0,0,0,1964,2004,3,153
Howlin' Wolf,Spoonful,1,1,0,1960,2021,16,154
Buddy Holly and the Crickets,Rave On,0,0,0,1958,2004,1,154
The Strokes,Last Nite,0,0,0,2001,2021,27,155
Creedence Clearwater Revival,Proud Mary,0,0,0,1969,2004,12,155
The Kingsmen,Louie Louie,0,0,0,1963,2021,8,156
Sonic Youth,Teenage Riot,0,0,0,1988,2021,124,157
The Flamingos,I Only Have Eyes for You,1,1,0,1959,2004,4,157
The Meters,Cissy Strut,1,1,0,1969,2021,2,158
Bill Haley and His Comets,(We're Gonna) Rock Around the Clock,0,0,0,1954,2004,11,158
The Velvet Underground,I'm Waiting for the Man,0,0,0,1967,2021,16,159
The Who,Baba O'Riley,0,0,0,1971,2021,66,159
R.E.M.,Nightswimming,0,0,0,1992,2021,15,160
Public Enemy,Bring the Noise,1,1,0,1988,2004,14,160
Madonna,Into the Groove,1,0,1,1985,2021,17,161
Ray Charles,I Can't Stop Loving You,1,1,0,1962,2004,6,161
Nick Drake,Pink Moon,1,1,0,1972,2021,12,162
Sinead O'Connor,Nothing Compares 2 U,1,0,1,1990,2021,10,162
Fleetwood Mac,Landslide,1,0,1,1975,2021,12,163
Queen,Bohemian Rhapsody,0,0,0,1975,2004,24,163
Bob Dylan,Mr. Tambourine Man,0,0,0,1965,2021,5,164
Johnny Cash,Folsom Prison Blues,0,0,0,1956,2004,5,164
Hank Williams,I'm So Lonesome I Could Cry,0,0,0,1949,2021,7,165
Tracy Chapman,Fast Car,1,1,1,1988,2004,19,165
Mott the Hoople,All the Young Dudes,0,0,0,1972,2021,11,166
Eminem,Lose Yourself,0,0,0,2002,2004,55,166
Eminem,Lose Yourself,0,0,0,2002,2021,55,167
Marvin Gaye,Let's Get It On,1,1,0,1973,2004,2,167
Dusty Springfield,Son of a Preacher Man,1,0,1,1968,2021,11,168
The Temptations,Papa Was A Rollin' Stone,1,1,0,1972,2004,114,168
Tom Petty and the Heartbreakers,American Girl,0,0,0,1976,2021,33,169
R.E.M.,Losing My Religion,0,0,0,1991,2004,15,169
The Five Satins,In the Still of the Night,1,1,0,1956,2021,13,170
Joni Mitchell,Both Sides Now,1,0,0,1969,2004,20,170
Louis Armstrong,What a Wonderful World,1,1,0,1967,2021,6,171
ABBA,Dancing Queen,1,0,1,1976,2004,19,171
Nina Simone,Mississippi Goddam,1,1,1,1964,2021,5,172
Aerosmith,Dream On,0,0,0,1973,2004,36,172
Television,Marquee Moon,0,0,0,1977,2021,24,173
Sex Pistols,God Save the Queen,0,0,0,1977,2004,18,173
R.E.M.,Radio Free Europe,0,0,0,1983,2021,11,174
The Rolling Stones,"Paint It, Black",0,0,0,1966,2004,14,174
The Flamingos,I Only Have Eyes for You,1,1,0,1959,2021,4,175
The Bobby Fuller Four,I Fought the Law,0,0,0,1966,2004,11,175
The Kinks,You Really Got Me,0,0,0,1964,2021,7,176
The Beach Boys,Don't Worry Baby,0,0,0,1964,2004,17,176
Van Halen,Jump,0,0,0,1983,2021,28,177
Tom Petty,Free Fallin',0,0,0,1989,2004,11,177
Billie Eilish,Bad Guy,1,0,1,2019,2021,14,178
Big Star,September Gurls,0,0,0,1974,2004,8,178
Pink Floyd,Comfortably Numb,0,0,0,1979,2021,7,179
Joy Division,Love Will Tear Us Apart,0,0,0,1980,2004,27,179
Lou Reed,Walk on the Wild Side,0,0,0,1972,2021,20,180
Outkast,Hey Ya!,1,1,0,2003,2004,2,180
The Byrds,Eight Miles High,0,0,0,1966,2021,29,181
Booker T. and the MGs,Green Onions,1,1,0,1962,2004,7,181
Simon and Garfunkel,The Sound of Silence,0,0,0,1964,2021,2,182
The Drifters,Save the Last Dance for Me,1,1,0,1960,2004,3,182
Stevie Wonder,You Are the Sunshine of My Life,1,1,0,1972,2021,15,183
B.B. King,The Thrill Is Gone,1,1,0,1969,2004,33,183
Sinead O'Connor,Nothing Compares 2 U,1,0,1,1990,2004,10,184
The Beatles,Please Please Me,0,0,0,1963,2004,7,184
Michael Jackson,Beat It,1,1,0,1982,2021,38,185
Bob Dylan,Desolation Row,0,0,0,1963,2004,8,185
The Staple Singers,I'll Take You There,1,1,1,1972,2021,10,186
Aretha Franklin,I Never Loved a Man (The Way I Love You),1,1,1,1967,2004,8,186
Bob Dylan,Subterranean Homesick Blues,0,0,0,1965,2021,8,187
AC/DC,Back in Black,0,0,0,1980,2004,26,187
The Jimi Hendrix Experience,Little Wing,1,1,0,1968,2021,35,188
Creedence Clearwater Revival,Who'll Stop the Rain,0,0,0,1970,2004,12,188
David Bowie,Space Oddity,0,0,0,1969,2021,29,189
Bee Gees,Stayin' Alive,0,0,0,1977,2004,14,189
N.W.A.,Fuck tha Police,1,1,0,1988,2021,30,190
Bob Dylan,Knocking on Heaven's Door,0,0,0,1973,2004,28,190
Bobbie Gentry,Ode to Billie Joe,1,0,1,1967,2021,8,191
Lynyrd Skynyrd,Free Bird,0,0,0,1973,2004,69,191
Geto Boys,Mind Playing Tricks on Me,1,1,0,1991,2021,9,192
Glen Campbell,Wichita Lineman,0,0,0,1968,2004,10,192
The Rolling Stones,Wild Horses,0,0,0,1971,2021,20,193
The Drifters,There Goes My Baby,1,1,0,1959,2004,15,193
PJ Harvey,Rid of Me,1,0,1,1993,2021,46,194
Buddy Holly,Peggy Sue,0,0,0,1957,2004,8,194
Patsy Cline,Crazy,1,0,1,1961,2021,13,195
The Chantels,Maybe,1,1,1,1957,2004,15,195
James Brown,Get Up (I Feel Like Being a) Sex Machine,1,1,0,1970,2021,14,196
Guns N' Roses,Sweet Child O' Mine,0,0,0,1987,2004,30,196
Ann Peebles,I Can't Stand the Rain,1,1,1,1973,2021,5,197
Elvis Presley,Don't Be Cruel,0,0,0,1956,2004,5,197
Marvin Gaye,Sexual Healing,1,1,0,1982,2021,17,198
The Jimi Hendrix Experience,Hey Joe,1,1,0,1966,2004,7,198
Aerosmith,Dream On,0,0,0,1973,2021,37,199
Parliament,Flash Light,1,1,0,1977,2004,8,199
David Bowie,Changes,0,0,0,1971,2021,20,200
Beck,Loser,0,0,0,1993,2004,22,200
Johnny Cash,Ring of Fire,0,0,0,1963,2021,9,201
New Order,Bizarre Love Triangle,0,0,0,1986,2004,8,201
Elton John,Your Song,0,0,0,1970,2021,8,202
The Beatles,Come Together,0,0,0,1969,2004,11,202
Stevie Wonder,"Signed, Sealed, Delivered I'm Yours",1,1,0,1970,2021,10,203
Bob Dylan,Positively 4th Street,0,0,0,1965,2004,10,203
David Bowie,Young Americans,0,0,0,1975,2021,25,204
Otis Redding,Try a Little Tenderness,1,1,0,1966,2004,12,204
Britney Spears,...Baby One More Time,1,0,1,1998,2021,13,205
Bill Withers,Lean On Me,1,1,0,1972,2004,27,205
Glen Campbell,Wichita Lineman,0,0,0,1968,2021,10,206
The Four Tops,Reach Out (I'll Be There),1,1,0,1966,2004,14,206
Rage Against the Machine,Killing in the Name,0,0,0,1992,2021,40,207
The Everly Brothers,Bye Bye Love,0,0,0,1957,2004,6,207
Hole,Doll Parts,1,0,1,1994,2021,1,208
Them,Gloria,0,0,0,1964,2004,20,208
Don Henley,The Boys of Summer,0,0,0,1984,2021,32,209
The Beach Boys,In My Room,0,0,0,1963,2004,8,209
Funkadelic,One Nation Under a Groove,1,1,0,1978,2021,0,210
? and the Mysterians,96 Tears,1,1,0,1966,2004,9,210
U2,With or Without You,0,0,0,1987,2021,26,211
The Beach Boys,"Caroline, No",0,0,0,1966,2004,6,211
Boston,More Than A Feeling,0,0,0,1976,2021,17,212
Prince,1999,1,1,0,1982,2004,34,212
The Rolling Stones,"Paint It, Black",0,0,0,1966,2021,15,213
Hank Williams,Your Cheatin' Heart,0,0,0,1953,2004,6,213
Steely Dan,Deacon Blues,0,0,0,1977,2021,14,214
Neil Young,Rockin' in the Free World,0,0,0,1989,2004,14,214
Mobb Deep,"Shook Ones, Pt. II",1,1,0,1995,2021,27,215
The Chords,Sh-Boom,1,1,0,1954,2004,0,215
Elvis Presley,Jailhouse Rock,0,0,0,1957,2021,6,216
Stevie Nicks,Edge of Seventeen,1,0,1,1981,2021,8,217
Dolly Parton,Jolene,1,0,1,1974,2004,8,217
